COD_IBGE;POP;IDH municipal;IDH renda;IDH longevidade;IDH educacao
4120333;3663;0,71;0,707;0,852;0,593
4120655;4213;0,71;0,724;0,819;0,603
4123303;8630;0,71;0,681;0,831;0,633
4127304;14862;0,71;0,698;0,837;0,613
4101002;19506;0,709;0,699;0,824;0,62
4106571;4137;0,709;0,703;0,792;0,641
4116406;3677;0,709;0,679;0,832;0,631
4117453;6808;0,709;0,688;0,817;0,634
4118303;2406;0,709;0,68;0,834;0,629
4100806;11672;0,708;0,695;0,826;0,617
4112959;7773;0,708;0,678;0,818;0,639
4113908;13378;0,708;0,681;0,809;0,645
4118709;6460;0,708;0,688;0,806;0,639
4119400;23514;0,708;0,702;0,816;0,619
4106100;4354;0,707;0,675;0,806;0,65
4110656;2347;0,707;0,672;0,836;0,63
4110904;4489;0,707;0,672;0,791;0,664
4113403;3940;0,707;0,657;0,812;0,663
4121307;3511;0,707;0,691;0,808;0,633
4102604;9886;0,706;0,716;0,833;0,59
4104501;19205;0,706;0,719;0,801;0,611
4110607;15730;0,706;0,696;0,829;0,611
4111555;6771;0,706;0,684;0,803;0,641
4113205;45620;0,706;0,696;0,848;0,595
4113304;31953;0,706;0,709;0,835;0,594
4119806;14300;0,706;0,704;0,786;0,636
4128807;5769;0,706;0,703;0,825;0,606
4110300;2529;0,705;0,676;0,807;0,641
4112751;10508;0,705;0,68;0,839;0,615
4119707;4063;0,705;0,682;0,795;0,646
4123402;11397;0,705;0,721;0,808;0,601
4124020;12928;0,705;0,686;0,808;0,632
4101705;14520;0,704;0,685;0,785;0,648
4103909;15737;0,704;0,677;0,829;0,623
4121356;2615;0,704;0,673;0,831;0,625
4122909;5195;0,704;0,661;0,836;0,631
4123956;3357;0,704;0,698;0,792;0,63
4125704;29285;0,704;0,726;0,818;0,588
4125902;2654;0,704;0,678;0,836;0,616
4126603;24083;0,704;0,708;0,839;0,588
4104907;75956;0,703;0,704;0,823;0,6
4110052;2142;0,703;0,672;0,812;0,637
4114708;5872;0,703;0,68;0,842;0,607
4126801;15659;0,703;0,694;0,819;0,612
4109005;4627;0,702;0,666;0,805;0,645
4119608;33640;0,702;0,696;0,802;0,621
4128708;9942;0,702;0,728;0,818;0,582
4103354;5212;0,701;0,689;0,797;0,627
4104253;31678;0,701;0,685;0,828;0,607
4108007;11475;0,701;0,682;0,807;0,625
4120507;10239;0,701;0,695;0,826;0,599
4121901;13.053(29);0,701;0,684;0,824;0,611
4103024;2411;0,7;0,673;0,848;0,602
4112801;11870;0,7;0,699;0,801;0,613
4118907;11885;0,7;0,704;0,804;0,607
4119509;131101;0,7;0,689;0,869;0,574
4120101;5543;0,7;0,708;0,815;0,595
4122800;4144;0,7;0,682;0,831;0,604
4123907;11111;0,7;0,684;0,804;0,624
4100400;122032;0,699;0,706;0,84;0,575
4126272;6137;0,699;0,695;0,803;0,611
4127809;9659;0,699;0,661;0,829;0,622
4128559;9326;0,699;0,702;0,811;0,601
4109203;4751;0,698;0,693;0,821;0,598
4115309;6356;0,698;0,717;0,804;0,591
4116604;3277;0,698;0,655;0,809;0,643
4103156;3942;0,697;0,64;0,805;0,656
4119202;6564;0,697;0,679;0,828;0,601
4126900;5743;0,697;0,689;0,794;0,619
4100608;13897;0,696;0,679;0,846;0,587
4102307;14608;0,696;0,707;0,823;0,579
4102505;10766;0,696;0,667;0,808;0,625
4112207;5862;0,696;0,688;0,826;0,593
4112306;4971;0,696;0,675;0,827;0,603
